311 Toronto,19220
Affordable Housing Office,2764
Arena Boards of Management,8400
Auditor General's Office,4701
Toronto Buildings,50256
Office of the Chief Financial Officer,16227
Children's Services,424494
City Manager's Office,55061
City Clerk's Office,50178
Association of Community Centres,7872
Non-Program Expenditures,643542
Capital & Corporate Financing,732229
Non-Program Revenues,49440
City Council,20815
Court Services,49527
Economic Development & Culture,79113
Engineering & Construction Services,66898
Exhibition Place,38131
"Facilities, Real Estate, Environment & Energy",189211
Fire Services,433227
Fleet Services,52397
Heritage Toronto,761
Integrity Commissioner's Office,637
Information & Technology,119987
Legal Services,49449
Toronto Public Library,187890
Municipal Licensing & Standards,50895
Office of the Lobbyist Registrar,1124
Local Appeal Body,1050
Long Term Care Homes & Services,242101
Mayor's Office,2297
Office of the Ombudsman,2110
Toronto Paramedic Services,197807
Toronto Parking Authority,81984
"Parks, Forestry & Recreation",436604
City Planning,43086
Toronto Police Service,1153634
Toronto Police Services Board,3066
"Policy, Planning, Finance & Administration",22097
Toronto Public Health,251182
Toronto & Region Conservation Authority,40187
"Shelter, Support & Housing Administration",650912
"Social Development, Finance & Administration",46707
Toronto Employment & Social Services,1125028
Solid Waste Management Services,370784
Theatres,23126
Transportation Services,347138
Office of the Treasurer,77283
Toronto Transit Commission - Conventional,1699020
Toronto Transit Commission - Wheel Trans,115313
Toronto Water,1080673
Yonge-Dundas Square,2266
Toronto Zoo,50563
