"","",2016 ,Change from 2015 ,2016 ,2016 CN ,Change from 2015
"",2015 ,Base ,Approved Budget ,New / Enh. ,Approved ,Approved Budget
(In $000's) ,Budget ,Budget ,$ Incr / (Dcr) % ,Budget ,Budget ,$ Incr / (Dcr) %
Corporate Accounts,"","","","","",""
Capital & Corporate Financing ,"","","","","",""
Capital from Current ,"229,086 ","217,843 ","(11,243) (4.9%) ","","217,843 ","(11,243) (4.9%)"
Technology Sustainment ,"17,912 ","17,912 ","","","17,912",""
Debt Charges ,"454,534 ","486,679 ","32,145 7.1% ","","486,679 ","32,145 7.1%"
Capital & Corporate Financing ,"701,532 ","722,434 ","20,902 3.0% ","","722,434 ","20,902 3.0%"
Non Program Expenditures,"","","","","",""
Tax Deficiencies/Write offs ,"79,204 ","61,420 ","(17,784) (22.5%) ","","61,420 ","(17,784) (22.5%)"
Assessment Function (MPAC) ,"40,210 ","40,670 ",460 1.1% ,"","40,670 ",460 1.1%
Temporary Borrowing ,"","",n/a ,"","",n/a
Funding of Employee Related Liabilities ,"65,905 ","65,875 ",(29) (0.0%) ,"","65,875 ",(29) (0.0%)
Tax Rebates for Registered Charities ,"6,371 ","7,157 ",786 12.3% ,"","7,157 ",786 12.3%
Programs Funded from Reserve Funds ,"124,263 ","127,698 ","3,435 2.8% ","","127,698 ","3,435 2.8%"
Other Corporate Expenditures ,"38,200 ","68,610 ","30,410 79.6% ","","68,610 ","30,410 79.6%"
Insurance Premiums & Claims ,300 ,300 ,"","",300,""
Parking Tag Enforcement & Operations Exp ,"64,219 ","65,674 ","1,454 2.3% ","","65,674 ","1,454 2.3%"
Vacancy Rebate Program ,"23,000 ","23,000 ",(0) (0.0%) ,"","23,000 ",(0) (0.0%)
Heritage Property Taxes Rebate ,"2,000 ","2,000 ","","","2,000",""
Street & Expressway Lighting Services ,"","",n/a ,"","",n/a
Pandemic Influenza Stockpiling ,"1,030 ","","(1,030) (100.0%) ","","","(1,030) (100.0%)"
Solid Waste Management Services Rebate ,"163,492 ","151,572 ","(11,920) (7.3%) ","2,230 ","153,802 ","(9,690) (5.9%)"
Non-Program Expenditures ,"608,194 ","613,976 ","5,782 1.0% ","2,230 ","616,206 ","8,012 1.3%"
Non Program Revenues,"","","","","",""
Tax Stabilization Reserve (Prior Year Surplus) ,"","",n/a ,"","",n/a
Payments in Lieu of Taxes ,"","",n/a ,"","",n/a
Supplementary Taxes ,"","",n/a ,"","",n/a
Tax Penalty Revenue ,"","",n/a ,"","",n/a
Municipal Land Transfer Tax ,"46,524 ","46,528 ",4 0.0% ,"","46,528 ",4 0.0%
Third Party Sign Tax ,924 ,"1,116 ",192 20.8% ,"","1,116 ",192 20.8%
Interest/Investment Earnings ,"1,089 ","1,132 ",43 4.0% ,"","1,132 ",43 4.0%
Other Corporate Revenues ,194 ,"2,092 ","1,898 980.5% ","","2,092 ","1,898 980.5%"
Dividend Income ,"","",n/a ,"","",n/a
Provincial Gas Tax ,"","",n/a ,"","",n/a
Parking Authority Revenues ,"67,481 ","9,380 ","(58,101) (86.1%) ","","9,380 ","(58,101) (86.1%)"
Administrative Support Recoveries - Water ,"","",n/a ,"","",n/a
Administrative Support Recoveries - Health & EMS ,"","",n/a ,"","",n/a
Parking Tag Enforcement & Operations Rev ,"","",n/a ,"","",n/a
Other Tax Revenues ,"","",n/a ,"","",n/a
Woodbine Slots Revenues ,"","",n/a ,"","",n/a
Gaming & Registry Revenues ,709 ,709 ,"","",709,""
Non-Program Revenues ,"116,921 ","60,957 ","(55,963) (47.9%) ","","60,957 ","(55,963) (47.9%)"
TOTAL - CORPORATE ACCOUNTS ,"1,426,647 ","1,397,367 ","(29,280) (2.1%) ","2,230 ","1,399,597 ","(27,050) (1.9%)"
TOTAL LEVY OPERATING BUDGET BEFORE ,"","","","","",""
ASSESSMENT GROWTH AND TAX INCREASE ,"9,985,531 ","10,019,045 ","33,514 0.3% ","48,375 ","10,067,420 ","81,889 0.8%"
NON LEVY OPERATION,"","","","","",""
Solid Waste Management Services ,"370,785 ","389,009 ","18,224 4.9% ","","389,009 ","18,224 4.9%"
Toronto Parking Authority ,"134,229 ","136,988 ","2,759 2.1% ","","136,988 ","2,759 2.1%"
Toronto Water ,"1,081,135 ","1,158,479 ","77,344 7.2% ","","1,158,479 ","77,344 7.2%"
TOTAL NON LEVY OPERATING BUDGET ,"1,586,150 ","1,684,476 ","98,327 6.2% ","","1,684,476 ","98,327 6.2%"
TOTAL OPERATING BUDGET ,"11,571,680 ","11,703,522 ","131,841 1.1% ","48,375 ","11,751,896 ","180,216 1.6%"
