Children's Services ,751.0,168.8,919.8 
Homes for the Aged ,2065.8,0.0,2065.8
"Shelter, Housing & Support ",501.0,158.6,659.6 
Social Development & Administration ,139.5,20.4,159.9 
Social Services ,1930.0,23.0,1953.0
Emergency Medical Services ,1150.0,2.0,1152.0
Emergency Management Plan ,0.0,0.0,0.0 
Solid Waste Management Services ,1212.5,89.4,1301.9
Fire Services ,3142.0,0.0,3142.0
Transportation Services ,1177.0,7.0,1184.0
WES - Support Services ,474.4,3.5,477.9 
WES - Technical Services ,557.6,5.4,563.0 
Culture ,104.0,50.7,154.7 
Customer & Business Support ,210.0,37.7,247.7 
Economic Development ,73.0,11.0,84.0 
Parks & Recreation ,1553.0,2129.2,3682.2
Tourism ,40.0,0.3,40.3 
Urban Development Services ,1032.0,66.5,1098.5
City Clerk's Office ,377.0,5.0,382.0 
Court Services ,221.0,0.0,221.0 
Service Improvement & Innovation ,86.0,0.0,86.0 
Corporate Communications ,84.0,0.0,84.0 
Facilities & Real Estate ,726.0,23.0,749.0 
Fleet Services ,200.0,0.0,200.0 
Human Resources ,300.0,5.0,305.0 
Information & Technology ,318.0,13.0,331.0 
Legal ,226.0,12.0,238.0 
Finance ,787.0,28.0,815.0 
Auditor General's Office ,26.0,0.0,26.0 
Chief Administrator's Office ,60.0,0.0,60.0 
Council ,176.0,1.0,177.0 
Mayor's Office ,18.0,0.0,18.0 
Public Health ,1728.3,90.7,1819.0
Toronto Public Library ,1817.7,0.0,1817.7
Exhibition Place ,332.0,94.0,426.0 
Heritage Toronto ,4.0,1.0,5.0 
Theatres ,88.1,98.6,186.7 
Toronto Zoo ,254.0,94.3,348.3 
Arena Boards of Management ,37.0,26.5,63.5 
Toronto & Region Conservation Authority ,274.6,82.0,356.6 
Association of Community Centres ,76.6,9.0,85.6 
Yonge Dundas Square ,3.0,0.0,3.0 
Toronto Parking Authority ,313.4,0.0,313.4 
Parking Enforcement Unit ,395.0,0.0,395.0 
Toronto Atmospheric Fund ,4.0,0.0,4.0 
Toronto Transit Commission** ,10338.0,92.0,10430.0
Toronto Police Services(excludes Board) ,7218.0,78.0,7296.0
Non Program ,1.0,0.0,1.0 
