Affordable Housing Office ,19
Children's Services ,922.4
Court Services ,282
Economic Development & Culture ,264.8
Toronto Paramedic Services ,1264
Long Term Care Homes & Services ,2151.3
"Parks, Forestry & Recreation ",4192
"Shelter, Support & Housing Administration ",723.4
"Social Development, Finance & Administration ",127.5
Toronto Employment & Social Services ,2186
City Planning ,339
Fire Services ,3170.8
Municipal Licensing & Standards ,452.6
"Policy, Planning, Finance and Administration ",199.1
Engineering and Construction Services ,139.8
Toronto Buildings ,425
Transportation Services ,1032.4
Office of the Chief Financial Officer ,96
Office of the Treasurer ,682
"Facilities, Real Estate, Environment & Energy ",770.2
Fleet Services ,174
Information & Technology ,587
311 Toronto ,154
City Manager's Office ,406.5
City Clerk's Office ,402.8
Legal Services ,294
Mayor's Office ,9
City Council ,176
Auditor General's Office ,29
Integrity Commissioner's Office ,2
Lobbyist Registrar's Office ,8.3
Ombudsman's Office ,11
Toronto Public Health ,1837.7
Toronto Public Library ,1713.4
Association of Community Centres ,77.4
Exhibition Place ,392.5
Heritage Toronto ,6
Theatres ,165.2
Toronto Zoo ,419.4
Arena Boards of Management ,68.2
Yonge Dundas Square ,6.5
Toronto & Region Conservation Authority ,0
TTC - Conventional  & WT,11413
Toronto Police Service ,7868
Toronto Police Services Board ,8
Parking Tag Enforcement & Oper. ,394
Solid Waste Management Services ,1091.7
Toronto Parking Authority ,295.7
Toronto Water ,1696.3
