Affordable Housing Office ,15.0, 4.0, 19.0
Children's Services ,951.3, 39.5, 990.8 
Court Services ,282.0,, 282.0
Economic Development & Culture ,249.0, 58.5, 307.5 
Toronto Paramedic Services ,1438.8, 6.5, 1445.3
Long Term Care Homes & Services ,2372.0,, 2372.0
"Parks, Forestry & Recreation ",1959.1, 2648.1, 4607.2
"Shelter, Support & Housing Administration", 615.2, 142.3, 757.5 
"Social Development, Finance & Administration", 127.5, 10.0, 137.5 
Toronto Employment & Social Services ,2007.0, 113.0, 2120.0
City Planning ,353.0, 19.0, 372.0 
Fire Services ,3165.0, 3.3, 3168.3
Municipal Licensing & Standards ,459.0, 1.0, 460.0
"Policy, Planning, Finance & Administration ",189.0, 7.4, 196.4
Engineering & Construction Services ,534.0, 32.1, 566.1 
Toronto Building ,444.0, 12.0, 456.0 
Transportation Services ,1071.6, 51.4, 1123.0
Office of the Chief Financial Officer ,102.0, 13.0, 115.0 
Office of the Treasurer ,656.0, 68.2, 724.2 
"Facilities, Real Estate, Environment & Energy ",955.2, 67.3, 1022.5
Fleet Services ,175.0, 9.0, 184.0 
Information & Technology ,635.0, 215.0, 850.0 
311 Toronto ,125.0, 41.3, 166.3 
City Manager's Office ,403.0, 29.0, 432.0 
City Clerk's Office ,399.1, 14.9, 413.9 
Legal Services ,274.0, 32.4, 306.4 
Mayor's Office ,1.0, 19.0, 20.0
City Council ,44.0, 136.0, 180.0 
Auditor General's Office ,31.5,, 31.5 
Office of the Lobbyist Registrar ,8.0, 0.3, 8.3
Integrity Commissioner's Office ,3.0,, 3.0
Office of the Ombudsman ,12.0,, 12.0
Toronto Public Health ,1822.0, 50.0, 1872.0
Toronto Public Library ,1741.0,, 1741.0
Association of Community Centres ,77.9,, 77.9
Exhibition Place ,190.0, 171.0, 361.0 
Heritage Toronto ,7.0,, 7.0
Theatres ,87.1, 84.8, 171.9 
Toronto Zoo ,277.7, 116.3, 394.0 
Arena Boards of Management ,44.3, 23.4, 67.7 
Yonge-Dundas Square ,6.0, 0.5, 6.5
Parking Tag Enforcement & Operations ,394.0,, 394.0
Toronto & Region Conservation Authority ,334.0, 85.6, 419.6
Toronto Atmospheric Fund ,8.0,, 8.0
Toronto Transit Commission - Conventional ,13858.0, 117.0, 13975.0
Toronto Transit Commission - Wheel Trans ,565.0,, 565.0 
Toronto Police Service ,7881.0,, 7881.0
Toronto Police Services Board ,7.0,, 7.0
Solid Waste Management Services ,988.5, 120.2, 1108.7
Toronto Water ,1653.0, 103.7, 1756.7
Toronto Parking Authority ,249.1, 53.3, 302.4 
